DateKey,Date,Year,Quarter,Month,MonthName,Day
20151128,2015-11-28,2015,Q4,11,November,28
20151129,2015-11-29,2015,Q4,11,November,29
20151130,2015-11-30,2015,Q4,11,November,30
20151201,2015-12-01,2015,Q4,12,December,1
20151202,2015-12-02,2015,Q4,12,December,2
20151203,2015-12-03,2015,Q4,12,December,3
20151204,2015-12-04,2015,Q4,12,December,4
20151205,2015-12-05,2015,Q4,12,December,5
20151206,2015-12-06,2015,Q4,12,December,6
20151207,2015-12-07,2015,Q4,12,December,7
20151208,2015-12-08,2015,Q4,12,December,8
20151209,2015-12-09,2015,Q4,12,December,9
20151210,2015-12-10,2015,Q4,12,December,10
20151211,2015-12-11,2015,Q4,12,December,11
20151212,2015-12-12,2015,Q4,12,December,12
20151213,2015-12-13,2015,Q4,12,December,13
20151214,2015-12-14,2015,Q4,12,December,14
20151215,2015-12-15,2015,Q4,12,December,15
20151216,2015-12-16,2015,Q4,12,December,16
20151217,2015-12-17,2015,Q4,12,December,17
20151218,2015-12-18,2015,Q4,12,December,18
20151219,2015-12-19,2015,Q4,12,December,19
20151220,2015-12-20,2015,Q4,12,December,20
20151221,2015-12-21,2015,Q4,12,December,21
20151222,2015-12-22,2015,Q4,12,December,22
20151223,2015-12-23,2015,Q4,12,December,23
20151224,2015-12-24,2015,Q4,12,December,24
20151225,2015-12-25,2015,Q4,12,December,25
20151226,2015-12-26,2015,Q4,12,December,26
20151227,2015-12-27,2015,Q4,12,December,27
20151228,2015-12-28,2015,Q4,12,December,28
20151229,2015-12-29,2015,Q4,12,December,29
20151230,2015-12-30,2015,Q4,12,December,30
20151231,2015-12-31,2015,Q4,12,December,31
20160101,2016-01-01,2016,Q1,1,January,1
20160102,2016-01-02,2016,Q1,1,January,2
20160103,2016-01-03,2016,Q1,1,January,3
20160104,2016-01-04,2016,Q1,1,January,4
20160105,2016-01-05,2016,Q1,1,January,5
20160106,2016-01-06,2016,Q1,1,January,6
20160107,2016-01-07,2016,Q1,1,January,7
20160108,2016-01-08,2016,Q1,1,January,8
20160109,2016-01-09,2016,Q1,1,January,9
20160110,2016-01-10,2016,Q1,1,January,10
20160111,2016-01-11,2016,Q1,1,January,11
20160112,2016-01-12,2016,Q1,1,January,12
20160113,2016-01-13,2016,Q1,1,January,13
20160114,2016-01-14,2016,Q1,1,January,14
20160115,2016-01-15,2016,Q1,1,January,15
20160116,2016-01-16,2016,Q1,1,January,16
20160117,2016-01-17,2016,Q1,1,January,17
20160118,2016-01-18,2016,Q1,1,January,18
20160119,2016-01-19,2016,Q1,1,January,19
20160120,2016-01-20,2016,Q1,1,January,20
20160121,2016-01-21,2016,Q1,1,January,21
20160122,2016-01-22,2016,Q1,1,January,22
20160123,2016-01-23,2016,Q1,1,January,23
20160124,2016-01-24,2016,Q1,1,January,24
20160125,2016-01-25,2016,Q1,1,January,25
20160126,2016-01-26,2016,Q1,1,January,26
20160127,2016-01-27,2016,Q1,1,January,27
20160128,2016-01-28,2016,Q1,1,January,28
20160129,2016-01-29,2016,Q1,1,January,29
20160130,2016-01-30,2016,Q1,1,January,30
20160131,2016-01-31,2016,Q1,1,January,31
20160201,2016-02-01,2016,Q1,2,February,1
20160202,2016-02-02,2016,Q1,2,February,2
20160203,2016-02-03,2016,Q1,2,February,3
20160204,2016-02-04,2016,Q1,2,February,4
20160205,2016-02-05,2016,Q1,2,February,5
20160206,2016-02-06,2016,Q1,2,February,6
20160207,2016-02-07,2016,Q1,2,February,7
20160208,2016-02-08,2016,Q1,2,February,8
